ID,Date,Time,Fo,Fm,FvFm
Acr1,22.06.2021,12:21:37,0.668,1.891,0.647
Acr2,22.06.2021,12:23:07,0.572,1.593,0.641
Acr3,22.06.2021,12:24:37,0.642,1.775,0.638
Acr4,22.06.2021,12:26:07,0.976,2.621,0.628
Acr5,22.06.2021,12:27:37,0.643,1.852,0.653
Acr6,22.06.2021,12:29:07,0.431,0.498,0.134
Acr7,22.06.2021,12:30:37,0.07,0.181,0.613
Acr8,22.06.2021,12:32:07,0.056,0.141,0.603
Acr9,22.06.2021,12:33:37,0.068,0.169,0.598
Acr10,22.06.2021,12:35:07,0.055,0.15,0.633
Acr11,22.06.2021,12:36:37,0.038,0.141,0.73
Acr12,22.06.2021,12:38:07,0.033,0.124,0.734
Acr13,22.06.2021,12:39:37,0.157,0.435,0.639
Acr14,22.06.2021,12:41:07,0.168,0.451,0.627
Acr15,22.06.2021,12:42:37,0.157,0.444,0.646
Acr16,22.06.2021,12:44:07,0.335,0.912,0.633
Acr17,22.06.2021,12:45:37,0.285,0.758,0.624
Acr18,22.06.2021,12:47:07,0.225,0.595,0.622
Acr19,22.06.2021,12:48:37,0.209,0.532,0.607
Acr20,22.06.2021,12:50:07,0.201,0.511,0.607
Acr21,22.06.2021,12:51:37,0.182,0.474,0.616
Acr22,22.06.2021,12:53:07,0.39,0.923,0.577
Acr23,22.06.2021,12:54:37,0.418,0.99,0.578
Acr24,22.06.2021,12:56:07,0.406,0.972,0.582
Acr25,22.06.2021,12:57:37,0.401,0.936,0.572
Acr26,22.06.2021,12:59:07,0.395,0.939,0.579
Acr27,22.06.2021,13:00:37,0.281,0.648,0.566
Acr28,22.06.2021,13:02:07,0.318,0.684,0.535
Acr29,22.06.2021,13:03:37,0.322,0.691,0.534
Acr30,22.06.2021,13:05:07,0.361,0.813,0.556
Acr31,22.06.2021,13:06:37,0.31,0.707,0.562
Acr32,22.06.2021,13:08:07,0.419,0.974,0.57
Acr33,22.06.2021,13:09:37,0.598,1.424,0.58
Acr34,22.06.2021,13:11:07,0.415,0.941,0.559
Acr35,22.06.2021,13:12:37,0.064,0.134,0.522
Acr36,22.06.2021,13:14:07,0.089,0.192,0.536
Acr37,22.06.2021,13:15:37,0.084,0.197,0.574
Acr38,22.06.2021,13:17:07,0.064,0.144,0.556
Acr39,22.06.2021,13:18:37,0.39,0.902,0.568
Acr40,22.06.2021,13:20:07,0.393,0.865,0.546
Acr41,22.06.2021,13:21:37,0.383,0.85,0.549
Acr42,22.06.2021,13:23:07,0.401,0.963,0.584
Poc1,22.06.2021,13:24:37,0.639,1.659,0.615
Poc2,22.06.2021,13:26:07,0.698,1.985,0.648
Poc3,22.06.2021,13:27:37,0.523,1.537,0.66
Poc4,22.06.2021,13:29:07,0.526,1.633,0.678
Poc5,22.06.2021,13:30:37,0.399,1.178,0.661
Poc6,22.06.2021,13:32:07,0.792,2.28,0.653
Poc7,22.06.2021,13:33:37,0.039,0.104,0.625
Poc8,22.06.2021,13:35:07,0.067,0.183,0.634
Poc9,22.06.2021,13:36:37,0.33,0.862,0.617
Poc10,22.06.2021,13:38:07,0.394,1.015,0.612
Poc11,22.06.2021,13:39:37,0.306,0.791,0.613
Poc12,22.06.2021,13:41:07,0.418,1.054,0.603
Poc13,22.06.2021,13:42:37,0.315,0.853,0.631
Poc14,22.06.2021,13:44:07,0.275,0.79,0.652
Poc15,22.06.2021,13:45:37,0.298,0.759,0.607
Poc16,22.06.2021,13:47:07,0.344,0.915,0.624
Poc17,22.06.2021,13:48:37,0.273,0.708,0.614
Poc18,22.06.2021,13:50:07,0.564,1.424,0.604
Poc19,22.06.2021,13:51:37,0.745,1.889,0.606
